city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),bed_type,star,number_of_ratings
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Nice and comfy studio close to Old town and metro.,218,218,Oct 11 - 16,"1,086",1 bed,4.58,84
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Sunny 'New Town Fryderyk',221,514,Oct 3 - 8,"1,103",2 beds,4.48,92
"Warsaw, Poland",2023-10-02,Room in Ursynow,Cozy room,98,98,Oct 12 - 17,489,2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Cozy apartment on Metro Szwedzka,255,255,Oct 3 - 8,"1,274",1 double bed,4.91,55
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Warsaw City Center Studio No2 by Rentujemy,253,303,Oct 2 - 7,"1,264",1 sofa bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Wola,YourSecondFlat ul.Grzybowska85a/84 z klimatyzacja,419,633,Oct 18 - 23,"2,095",1 double bed,4.87,159
"Warsaw, Poland",2023-10-02,Apartment in Bielany,Cozy 1-bedroom flat next to the City Center,216,216,Oct 16 - 21,"1,080",1 bed,4.79,53
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,New Praga Enchanting Studio,234,234,Oct 2 - 7,"1,166",2 beds,4.64,14
"Warsaw, Poland",2023-10-02,Apartment in Ochota,Green Ochota Apartments by Rentujemy,244,285,Oct 2 - 7,"1,216",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-02,Apartment in Praga Polnoc,Cozy apartment Prague North,215,215,Nov 1 - 6,"1,074",2 beds,5.0,10
"Warsaw, Poland",2023-10-02,Room in Srodmiescia,Room N.4 'FA',132,250,Oct 2 - 7,657,2 beds,4.17,6
"Warsaw, Poland",2023-10-02,Apartment in Wlochy,'Wiki 2.0' Fryderyk Apartment,188,333,Oct 3 - 8,939,1 bed,4.57,14
"Warsaw, Poland",2023-10-02,Apartment in Wola,Bliska Wola Golden Studio 1319,207,207,Oct 8 - 13,"1,032",1 king bed,4.54,24
"Warsaw, Poland",2023-10-02,Apartment in Wola,Sienna | Cardamon Apartment,229,309,Oct 3 - 8,"1,145",1 bed,4.72,43
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Decor metro WiFi 300 Mb/s 55'TV Netflix HBO,256,306,Oct 2 - 7,"1,276",2 beds,4.61,95
"Warsaw, Poland",2023-10-02,Room in Srodmiescia,Fantastic - O13 Room D,127,127,Oct 8 - 13,634,2 beds,4.68,19
"Warsaw, Poland",2023-10-02,Apartment in Wola,Apartament Wola Goleszowska 198 - air condition,266,296,Oct 4 - 9,"1,326",2 beds,4.88,138
"Warsaw, Poland",2023-10-02,Apartment in Wola,An apartment with a view and a terrace.,347,380,Oct 4 - 11,"2,429",2 beds,4.77,26
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Kasprowicza | Pomegranate Apartment,262,311,Oct 15 - 20,"1,310",1 bed,4.56,27
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,A studio with a balcony in a beautiful townhouse in Prague,212,251,Oct 3 - 8,"1,056",1 bed,4.75,8
"Warsaw, Poland",2023-10-02,Apartment in Warsaw,Luxury Apartament 5 min to Old Town,421,"1,383",Oct 4 - 9,"2,101",2 beds,5.0,7
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,ShortStayPoland Pustelnicka (B58),244,299,Oct 8 - 13,"1,220",1 bed,4.83,18
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Cosy Independent Studio close to city centre,122,122,Jan 1 - 6,610,1 bed,4.9,10
"Warsaw, Poland",2023-10-02,Hostel in Warszawa,#3 Cozy Rondo Private Room ,147,173,Oct 6 - 11,733,2 beds,4.92,71
"Warsaw, Poland",2023-10-02,Room in Warszawa,Cozy subway room near the airport.,94,94,Oct 8 - 13,468,2 beds,4.55,107
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,"Perfect location, cozy flat",234,306,Oct 8 - 13,"1,166",2 beds,5.0,14
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Modern studio apartment>>> Nowoczesna kawalerka !!,172,211,Oct 8 - 13,857,1 bed,4.31,85
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Bohema Lux,299,356,Oct 8 - 13,"1,493",2 beds,4.94,16
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Bliska Wola Sage Green Studio,212,212,Oct 4 - 9,"1,058",1 sofa bed,4.5,10
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Kasprzaka 29 (H) Perfect Apart,223,223,Oct 3 - 8,"1,111",1 bed,5.0,6
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Warsaw City Centre Apartment,268,268,Oct 2 - 7,"1,339",1 double bed,4.82,401
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Air-conditioned Studio with Balcony - for 2 people,269,269,Oct 2 - 7,"1,341",1 double bed,4.38,40
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Bliska 17 (A) by Homeprime,230,303,Oct 5 - 10,"1,150",1 bed,5.0,12
"Warsaw, Poland",2023-10-02,Apartment in Warsaw,Twarda City Apartment B,212,306,Oct 9 - 14,"1,056",1 bed,4.72,25
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Studio Srodmiescie - perfect location,273,350,Oct 8 - 13,"1,362",1 double bed,4.89,97
"Warsaw, Poland",2023-10-02,Apartment in Warszawa,Metro Pole Mokotowskie Batorego,161,197,Oct 9 - 15,962,1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Metro Pole Mokotowskie Batorego,161,197,Oct 9 - 15,962,1 bed,New,New
"Warsaw, Poland",2023-10-02,Apartment in Mokotow,Peaceful studio by Okecie,225,225,Oct 2 - 7,"1,121",1 bed,New,New
"Warsaw, Poland",2023-10-02,Condo in Zoliborz,"AC, New Deluxe Studio Subway Slodowiec",268,268,Oct 2 - 7,"1,337",1 bed,4.88,8
"Warsaw, Poland",2023-10-02,Apartment in Bialoleka,Comfort apartment with parking,146,146,Oct 7 - 13,871,1 bed,3.33,3
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Vintage Warsaw Apartment,327,327,Oct 3 - 8,"1,631",2 beds,4.76,29
"Warsaw, Poland",2023-10-02,Apartment in Srodmiescia,Palace 3 WiFi 65'TV Netflix HBO Disney+ AppleTV+,263,291,Oct 7 - 12,"1,315",1 bed,4.7,30
